edge,count,name,shape,edge_length,cycle_roads,main_roads,small_roads,school_distance
"(5236564047, 10577183825)",381,Rheinstraße,"{""type"":""LineString"",""coordinates"":[[8.2761127,50.0006613],[8.2757892,50.0011071],[8.2757218,50.0012024],[8.2756914,50.0012455],[8.2756224,50.0013432]]}",0.084,0,1,0,0.595
"(2453933627, 151356155)",379,Quintinsstraße,"{""type"":""LineString"",""coordinates"":[[8.273208,50.0006982],[8.2730917,50.000678],[8.2729293,50.0006599],[8.2725641,50.0006294],[8.2724465,50.0006228],[8.2722655,50.0006015],[8.2719456,50.0005668]]}",0.091,0,1,0,0.398
"(256143287, 256144171)",377,"['Flachsmarkt', 'Flachsmarktstraße']","{""type"":""LineString"",""coordinates"":[[8.2708295,50.00225],[8.2707174,50.0023528],[8.2706747,50.0023894],[8.2706289,50.0024346],[8.2705865,50.0024806],[8.2704927,50.0025925],[8.270419,50.0026841],[8.27034,50.0027754],[8.2701898,50.0029327]]}",0.089,0,1,0,0.556
"(768894385, 27296103)",369,Bauhofstraße,"{""type"":""LineString"",""coordinates"":[[8.2685874,50.004167700000004],[8.2685363,50.0041956],[8.2685017,50.0042149],[8.2684514,50.004242],[8.2680455,50.0044684],[8.2676953,50.0046556],[8.2674971,50.0047508]]}",0.101,0,1,0,0.405
"(27629782, 27629686)",368,,"{""type"":""LineString"",""coordinates"":[[8.2797678,50.0078249],[8.2766524,50.006556],[8.2761575,50.0063544],[8.2734432,50.0052581]]}",0.535,0,1,0,0.415
"(1416745319, 1599319861)",362,Alicenstraße,"{""type"":""LineString"",""coordinates"":[[8.2598757,50.0010195],[8.2598656,50.001005],[8.2598636,50.0009866],[8.2598689,50.0009663],[8.2598796,50.0009387],[8.2599262,50.0008807],[8.2599862,50.0008118],[8.2601334,50.000643],[8.2602651,50.0005009],[8.2602854,50.0004767],[8.2603297,50.0004189],[8.2603473,50.0003909],[8.2603602,50.000362]]}",0.082,0,0,1,0.745
"(255405292, 7080377292)",358,"['Binger Straße', 'Alicenplatz']","{""type"":""LineString"",""coordinates"":[[8.2603185,50.0002296],[8.2602873,50.0002183],[8.2591162,49.999766],[8.2590552,49.9997495],[8.2589775,49.999738],[8.2589438,49.9997349]]}",0.113,0,1,0,0.741
"(529583, 529591)",349,Alicenstraße,"{""type"":""LineString"",""coordinates"":[[8.2621338,49.9983036],[8.2620985,49.9983809],[8.2620499,49.9984558],[8.2617544,49.9988315],[8.2610543,49.9997214],[8.2608073,50.0000337],[8.2607518,50.000101]]}",0.223,0,1,0,0.548
"(7035005277, 264842509)",348,Mombacher Straße,"{""type"":""LineString"",""coordinates"":[[8.2560586,50.0029537],[8.2562487,50.0028428],[8.2564911,50.0026734],[8.2567382,50.0024507]]}",0.074,0,1,0,0.531
"(27077171, 1717979491)",345,Gärtnergasse,"{""type"":""LineString"",""coordinates"":[[8.2631461,50.001387],[8.2630026,50.0014343],[8.2618781,50.0018087],[8.2618329,50.0018237]]}",0.106,0,1,0,0.649
"(1413872468, 1413872573)",344,Saarstraße,"{""type"":""LineString"",""coordinates"":[[8.2486059,49.9969895],[8.2488547,49.9970233],[8.2493764,49.9970776],[8.2497747,49.9971162],[8.2503652,49.9971591],[8.2506401,49.997181],[8.2510941,49.9972279],[8.2511444,49.9972361],[8.2513602,49.9972696],[8.2515876,49.9973054],[8.2517637,49.9973147],[8.2519015,49.9973192],[8.2520794,49.997325],[8.2523698,49.9973328],[8.2531811,49.9973573],[8.2545887,49.99744],[8.2553822,49.9974895],[8.2554179,49.9974917],[8.2554383,49.997493],[8.255462,49.9974946],[8.2556065,49.9975093],[8.2557242,49.997527]]}",0.513,0,1,0,0.554
"(697194414, 27296108)",341,Gärtnergasse,"{""type"":""LineString"",""coordinates"":[[8.2646945,50.0009091],[8.263956,50.0010838]]}",0.056,0,1,0,0.534
"(4620333605, 631746571)",338,"['Peter-Altmeier-Allee', 'Rheinstraße']","{""type"":""LineString"",""coordinates"":[[8.274617,50.0038421],[8.2745506,50.0039411],[8.2744916,50.0040253],[8.2744105,50.0041254],[8.2736392,50.0048851],[8.2734322,50.0050996],[8.2732177,50.0053219],[8.2730112,50.005536],[8.2723543,50.0062139],[8.2722514,50.0063118],[8.2721394,50.0064098],[8.271994,50.0065175],[8.2718521,50.0066197],[8.2717731,50.0066779]]}",0.376,0,1,0,0.217
