edge,count,name,shape,edge_length,cycle_roads,main_roads,small_roads,school_distance
"(414998636, 265905882)",68,Lanzelhohl,"{""type"":""LineString"",""coordinates"":[[8.2523031,49.9867214],[8.2520498,49.9866367],[8.2515022,49.9864478],[8.2514403,49.986427],[8.2510389,49.986293]]}",0.102,0,0,0,1.712
"(256143283, 10577183789)",68,Bauerngasse,"{""type"":""LineString"",""coordinates"":[[8.2712469,50.0024264],[8.2713328,50.0024612],[8.2713948,50.0024991],[8.2714416,50.002533],[8.271548,50.0026423],[8.2716641,50.0027704]]}",0.049,0,0,1,0.58
"(3562277554, 2156747087)",68,Am Judensand,"{""type"":""LineString"",""coordinates"":[[8.2432896,50.0067264],[8.2432133,50.006808],[8.2431386,50.0068879],[8.2430222,50.0070114],[8.2428939,50.0071477],[8.2426508,50.0074156]]}",0.089,0,0,1,0.03
"(255382553, 2434558281)",68,"['Goethestraße', 'Werderstraße']","{""type"":""LineString"",""coordinates"":[[8.2516903,50.009027],[8.251651,50.0089932],[8.2511409,50.0085691],[8.2498408,50.0096672],[8.2498022,50.0096992]]}",0.222,0,0,1,0.463
"(1211223365, 1561821722)",68,Hauptstraße,"{""type"":""LineString"",""coordinates"":[[8.2332629,50.0189521],[8.2329227,50.0191232]]}",0.031,0,0,1,1.448
"(117384262, 4549174770)",68,Marienborner Straße,"{""type"":""LineString"",""coordinates"":[[8.2383013,49.9781885],[8.2383519,49.9780873],[8.2385418,49.9776902],[8.2389728,49.976825],[8.2390316,49.976712],[8.2390514,49.9766682],[8.2390537,49.976663],[8.23907,49.9766306],[8.2390885,49.9765837],[8.2391129,49.9765051],[8.2391353,49.9764223],[8.2391597,49.9763343],[8.2391698,49.9762888],[8.2391839,49.9762165],[8.2392007,49.9761148],[8.2392193,49.9759811],[8.239229,49.9759113]]}",0.263,0,1,0,2.73
"(27633061, 30696515)",68,Raimundistraße,"{""type"":""LineString"",""coordinates"":[[8.2664358,50.0078465],[8.2662963,50.0079409],[8.2656394,50.0084134]]}",0.085,0,0,1,0.227
"(255925620, 255925621)",68,Moltkestraße,"{""type"":""LineString"",""coordinates"":[[8.251062,50.0114908],[8.2501952,50.0118983]]}",0.077,0,0,1,0.631
"(27640275, 7804995057)",68,Stiftsstraße,"{""type"":""LineString"",""coordinates"":[[8.2661043,50.0053219],[8.2661682,50.0053901],[8.2666229,50.0058757]]}",0.072,0,0,1,0.331
"(256144174, 4042155664)",68,Rheinstraße,"{""type"":""LineString"",""coordinates"":[[8.2730304,50.0046361],[8.273443,50.0042133],[8.273522,50.0041264],[8.2736319,50.0040078],[8.2737264,50.0038987],[8.2738043,50.0038003]]}",0.108,0,1,0,0.455
"(8493775015, 30897132)",68,Barbarossaring,"{""type"":""LineString"",""coordinates"":[[8.2504898,50.010321],[8.2503334,50.0104538],[8.2500905,50.0106631]]}",0.048,0,1,0,0.536
"(255451725, 1561821723)",68,Hauptstraße,"{""type"":""LineString"",""coordinates"":[[8.2322373,50.019468],[8.2319463,50.0196144]]}",0.026,0,0,1,1.535
"(224455223, 11184111844)",68,Margaretengasse,"{""type"":""LineString"",""coordinates"":[[8.2687373,50.0027521],[8.268791,50.002797],[8.2690146,50.0029789],[8.2694679,50.0034396],[8.2695385,50.0034831],[8.2695558,50.0034905],[8.2696207,50.0035182]]}",0.107,0,0,1,0.511
"(255317805, 255317806)",67,Nahestraße,"{""type"":""LineString"",""coordinates"":[[8.2578607,50.0138332],[8.2577045,50.0137274],[8.2569548,50.0132276]]}",0.093,0,0,1,1.044
"(255380779, 255380781)",67,Kaiser-Wilhelm-Ring,"{""type"":""LineString"",""coordinates"":[[8.252857,50.0080219],[8.2536185,50.0073886]]}",0.089,0,1,0,0.554
"(289679508, 5409996228)",67,Albanstraße,"{""type"":""LineString"",""coordinates"":[[8.276941,49.9939432],[8.2770399,49.9939836],[8.2771341,49.9940156],[8.2772723,49.9940458],[8.2774141,49.9940713]]}",0.037,0,0,0,0.644
"(255924688, 10857722658)",67,Sömmerringstraße,"{""type"":""LineString"",""coordinates"":[[8.2545235,50.0130251],[8.2550506,50.0127542],[8.2552042,50.0126736],[8.2552318,50.0126591]]}",0.065,0,0,1,0.948
"(209043491, 539764411)",67,Südring,"{""type"":""LineString"",""coordinates"":[[8.2479412,49.97529],[8.248618,49.9757699]]}",0.072,0,0,1,2.44
"(196072525, 158740861)",67,Heuerstraße,"{""type"":""LineString"",""coordinates"":[[8.2722113,49.9573553],[8.274573,49.9588749]]}",0.239,0,1,0,0.174
"(249523933, 249523604)",67,Bahnweg,"{""type"":""LineString"",""coordinates"":[[8.2752185,49.9675873],[8.2745693,49.9679963],[8.2742083,49.9682666],[8.2740475,49.9684076],[8.2738421,49.9688413]]}",0.174,0,0,1,0.567
"(27633902, 27633942)",67,Holzstraße,"{""type"":""LineString"",""coordinates"":[[8.2794317,49.9975855],[8.2805296,49.9979511]]}",0.088,0,0,1,0.702
"(223530556, 4324202795)",67,Heinrich-von-Gagern-Straße,"{""type"":""LineString"",""coordinates"":[[8.2869852,49.9859474],[8.2859943,49.9851213],[8.2859365,49.984982],[8.2858957,49.9848692]]}",0.145,0,0,1,1.01
"(1462353977, 11267686699)",67,Wallstraße,"{""type"":""LineString"",""coordinates"":[[8.248131,50.0047818],[8.2477586,50.0049985],[8.2473806,50.0052347]]}",0.074,0,1,0,0.105
"(31272813, 34580649)",67,Heiligkreuzweg,"{""type"":""LineString"",""coordinates"":[[8.2935308,49.9797478],[8.2944926,49.9800697],[8.2946101,49.9801124]]}",0.087,0,1,0,0.217
"(6584072721, 8458040773)",67,,"{""type"":""LineString"",""coordinates"":[[8.2704767,50.0076505],[8.2705193,50.0076092],[8.2705938,50.0075285]]}",0.016,1,0,0,0.075
"(257173675, 352987391)",67,Hechtsheimer Straße,"{""type"":""LineString"",""coordinates"":[[8.2799581,49.982413],[8.2799645,49.9823602],[8.2800024,49.9820943],[8.2800402,49.9818724]]}",0.06,0,1,0,1.255
"(7998797365, 4731352735)",67,Jakob-Welder-Weg,"{""type"":""LineString"",""coordinates"":[[8.2402281,49.9936833],[8.240154,49.9936673],[8.2388279,49.9933831],[8.2387849,49.993369],[8.2385925,49.9933059],[8.2385002,49.9932866]]}",0.131,0,0,1,1.065
"(8665970984, 34470131)",67,Weisenauer Straße,"{""type"":""LineString"",""coordinates"":[[8.2904738,49.9903363],[8.2907849,49.990217],[8.2908531,49.9901886],[8.2911531,49.9900584],[8.2915599,49.9898883],[8.2926988,49.9894041]]}",0.19,0,1,0,1.107
"(698230812, 1783146288)",66,Große Bleiche,"{""type"":""LineString"",""coordinates"":[[8.2685843,50.0040285],[8.2685488,50.0039992],[8.2685213,50.0039765],[8.268168,50.0036849],[8.267657,50.0032632]]}",0.108,0,1,0,0.461
"(9573668523, 309888566)",66,,"{""type"":""LineString"",""coordinates"":[[8.289857,49.9859442],[8.2888994,49.9865631]]}",0.097,0,0,1,0.876
"(530091, 256310267)",66,Große Langgasse,"{""type"":""LineString"",""coordinates"":[[8.2686142,49.9989263],[8.2687946,49.9988164],[8.2689422,49.9987152]]}",0.033,0,1,0,0.163
"(256521554, 256521564)",66,Schneckenburgerstraße,"{""type"":""LineString"",""coordinates"":[[8.264632,49.9909225],[8.2644648,49.9909944]]}",0.014,0,0,1,0.795
"(256521554, 256521564)",66,Schneckenburgerstraße,"{""type"":""LineString"",""coordinates"":[[8.264632,49.9909225],[8.2644648,49.9909944]]}",0.014,0,0,1,0.795
"(8496195907, 1696612314)",66,,"{""type"":""LineString"",""coordinates"":[[8.247355,50.019392],[8.2471919,50.0194564],[8.2468844,50.0195776],[8.2468074,50.0196137],[8.2463354,50.0198006],[8.2463227,50.0198098],[8.246318,50.0198182],[8.2462972,50.0198503],[8.2462863,50.0198588],[8.2462643,50.0198733],[8.2462061,50.0198983]]}",0.101,1,0,0,1.302
"(2468726967, 30692122)",66,Hindenburgplatz,"{""type"":""LineString"",""coordinates"":[[8.2637454,50.006466],[8.2636119,50.0065223],[8.2635484,50.0065453]]}",0.017,0,0,1,0.459
"(256168152, 873536656)",66,Quintinsstraße,"{""type"":""LineString"",""coordinates"":[[8.274914,50.001195],[8.2746268,50.0010712]]}",0.025,0,1,0,0.55
"(2136089210, 1559402980)",66,Philippsring,"{""type"":""LineString"",""coordinates"":[[8.2874558,50.0062871],[8.2878969,50.0063523]]}",0.032,0,1,0,1.278
"(30651659, 30651660)",66,Nackstraße,"{""type"":""LineString"",""coordinates"":[[8.255947,50.0071666],[8.2559947,50.00715],[8.2564736,50.0069769],[8.25651,50.0069637]]}",0.046,0,0,1,0.728
"(27715642, 27715655)",66,Rheinallee,"{""type"":""LineString"",""coordinates"":[[8.2635755,50.0109991],[8.2628487,50.0113816],[8.2623359,50.0116325],[8.2622302,50.0116881]]}",0.123,0,1,0,0.528
"(1224474393, 255380095)",66,Rhabanusstraße,"{""type"":""LineString"",""coordinates"":[[8.2593003,50.0037004],[8.259632,50.0035668],[8.2596702,50.0035514]]}",0.031,0,0,1,0.773
"(1696858149, 8895775345)",66,Hattenbergstraße,"{""type"":""LineString"",""coordinates"":[[8.24733,50.0130096],[8.24718,50.0130497],[8.2465215,50.0132229],[8.2464151,50.0132494],[8.2461744,50.013317],[8.2459489,50.0133953],[8.2457036,50.0134907],[8.2455936,50.0135372],[8.2455221,50.0135674]]}",0.144,0,1,0,0.618
"(27715961, 6785008198)",66,Wallaustraße,"{""type"":""LineString"",""coordinates"":[[8.2587442,50.0120506],[8.2594194,50.0115887]]}",0.07,0,0,1,0.816
"(7281811303, 414998640)",66,Am Wildgraben,"{""type"":""LineString"",""coordinates"":[[8.2527388,49.9859218],[8.2525387,49.9864555],[8.2525098,49.9865614],[8.2524969,49.9866577],[8.2524918,49.9867436]]}",0.093,0,1,0,1.7
"(243047122, 168485700)",66,Lassallestraße,"{""type"":""LineString"",""coordinates"":[[8.2795855,49.9643545],[8.2782518,49.964175]]}",0.097,0,0,1,0.206
"(11023078407, 11190621438)",66,Rheinallee,"{""type"":""LineString"",""coordinates"":[[8.258134,50.0138021],[8.258242,50.0137435],[8.2582756,50.0137253],[8.2583926,50.0136626],[8.2585243,50.0135953],[8.2585876,50.013563],[8.2586516,50.0135303]]}",0.048,0,1,0,0.979
"(256521147, 256521563)",66,An der Philippsschanze,"{""type"":""LineString"",""coordinates"":[[8.2630711,49.9904676],[8.2636436,49.9902139]]}",0.05,0,1,0,0.896
"(1562167351, 1821634702)",66,Turmstraße,"{""type"":""LineString"",""coordinates"":[[8.2294662,50.017709],[8.229588,50.0176233],[8.2297417,50.0175174],[8.2304681,50.017005]]}",0.106,0,0,1,1.386
"(202846012, 530022)",65,Zahlbacher Steig,"{""type"":""LineString"",""coordinates"":[[8.2535516,49.9882985],[8.2536726,49.9882526],[8.2536805,49.9882491],[8.2538501,49.988207]]}",0.024,0,1,0,1.518
"(255741311, 255741313)",65,Kurt-Schumacher-Straße,"{""type"":""LineString"",""coordinates"":[[8.2127042,50.0068653],[8.2130257,50.006367],[8.2131599,50.0061543],[8.2133277,50.0058944]]}",0.117,0,0,1,2.142
"(158740861, 192137089)",65,Heuerstraße,"{""type"":""LineString"",""coordinates"":[[8.274573,49.9588749],[8.2746752,49.9589405],[8.2751732,49.959246],[8.2753485,49.9592983],[8.2759273,49.9593938]]}",0.116,0,1,0,0.075
"(30699145, 2440435806)",65,"['Hafenstraße', 'Feldbergplatz']","{""type"":""LineString"",""coordinates"":[[8.2665122,50.0106417],[8.2653793,50.0113783],[8.2648581,50.0117169],[8.264813,50.0117701],[8.2648036,50.0118072],[8.2647973,50.0118476]]}",0.184,0,0,1,0.346
"(1574842458, 6428463064)",65,Am Fort Elisabeth,"{""type"":""LineString"",""coordinates"":[[8.2719683,49.9900941],[8.2721569,49.9900434],[8.2728796,49.9898276]]}",0.072,0,0,1,0.821
"(173948247, 256061959)",65,Im Münchfeld,"{""type"":""LineString"",""coordinates"":[[8.2286995,49.9965481],[8.228278,49.9965098],[8.2281724,49.9964901],[8.2276848,49.9963553],[8.2274192,49.9962912],[8.2273387,49.996272],[8.2272163,49.9962591],[8.2270291,49.9962549],[8.2265513,49.9962443]]}",0.159,0,0,1,1.487
"(290471030, 256513446)",65,Germanikusstraße,"{""type"":""LineString"",""coordinates"":[[8.2629745,49.9950762],[8.2630779,49.9950433],[8.2642505,49.9950484],[8.2643404,49.9951022]]}",0.101,0,0,1,0.452
"(31272820, 308954433)",65,Heiligkreuzweg,"{""type"":""LineString"",""coordinates"":[[8.2963222,49.9814681],[8.2963881,49.9815806],[8.2964178,49.9816314],[8.2965781,49.9818056],[8.2967051,49.9819225]]}",0.058,0,1,0,0.197
"(11866458827, 165102371)",65,Untere Zahlbacher Straße,"{""type"":""LineString"",""coordinates"":[[8.2536508,49.9884963],[8.253625,49.9884786],[8.2535364,49.9884264],[8.2533109,49.9883323]]}",0.031,0,1,0,1.508
"(4725706890, 2885195941)",65,Wittichweg,"{""type"":""LineString"",""coordinates"":[[8.2381936,49.9946754],[8.2392092,49.9948949],[8.2401257,49.995093]]}",0.146,0,0,1,0.937
"(5469801663, 2272673094)",65,Mombacher Straße,"{""type"":""LineString"",""coordinates"":[[8.2504198,50.0061245],[8.2504012,50.0061364],[8.2499551,50.0063786]]}",0.044,0,1,0,0.291
"(1698570206, 9568185634)",65,Erzbergerstraße,"{""type"":""LineString"",""coordinates"":[[8.2314025,50.0128841],[8.2313043,50.0128384],[8.2306364,50.0125468],[8.2302631,50.0124165]]}",0.097,0,1,0,1.026
"(27715989, 30696527)",65,Wallaustraße,"{""type"":""LineString"",""coordinates"":[[8.2619504,50.0097812],[8.2625024,50.0091954]]}",0.076,0,0,1,0.516
"(1182615140, 9573668523)",65,,"{""type"":""LineString"",""coordinates"":[[8.2900373,49.9858277],[8.289857,49.9859442]]}",0.018,0,0,1,0.858
"(1425681801, 1425681783)",65,Xaveriusweg,"{""type"":""LineString"",""coordinates"":[[8.2516686,49.9918022],[8.2515466,49.991794],[8.2513141,49.9917822]]}",0.025,0,0,0,1.159
"(672933773, 1613625654)",65,Am Römerlager,"{""type"":""LineString"",""coordinates"":[[8.2642141,49.9922917],[8.2621162,49.9932928],[8.2612572,49.9937027],[8.2611453,49.993757],[8.2611022,49.993779],[8.2610485,49.9938028],[8.2609552,49.9938473]]}",0.29,0,1,0,0.681
"(827745885, 6203400791)",65,Carl-Zeiss-Straße,"{""type"":""LineString"",""coordinates"":[[8.2541681,49.9620906],[8.2540518,49.9620663],[8.2531257,49.9618723]]}",0.078,0,0,0,1.446
"(464135914, 2454132133)",65,Templerstraße,"{""type"":""LineString"",""coordinates"":[[8.281351,49.9971281],[8.2811384,49.9970554]]}",0.017,0,0,1,0.824
"(57516990, 7013681998)",65,Am Ostergraben,"{""type"":""LineString"",""coordinates"":[[8.237326,49.9805999],[8.2373713,49.9805172],[8.2375643,49.980165]]}",0.051,0,1,0,2.491
"(30896944, 30896943)",65,Mombacher Straße,"{""type"":""LineString"",""coordinates"":[[8.2545319,50.0038844],[8.2549893,50.0035994]]}",0.046,0,1,0,0.45
"(30651660, 8725706645)",65,Lessingplatz,"{""type"":""LineString"",""coordinates"":[[8.25651,50.0069637],[8.2565336,50.0069875],[8.2565584,50.0070161],[8.2566724,50.007147],[8.2567709,50.0072586],[8.2569505,50.0074619],[8.2569589,50.0074715],[8.2570038,50.0075223],[8.2570195,50.0075401],[8.2570379,50.0075609],[8.2573461,50.0078795],[8.257396,50.0079285]]}",0.125,0,0,1,0.755
"(769291294, 256522455)",65,Pariser Straße,"{""type"":""LineString"",""coordinates"":[[8.2663724,49.9894345],[8.2663625,49.9895269],[8.2663578,49.9896412],[8.2663722,49.9900898]]}",0.073,0,1,0,0.838
"(3064791327, 257945902)",65,Jakob-Heinz-Straße,"{""type"":""LineString"",""coordinates"":[[8.2238911,49.9892572],[8.224047,49.9892884],[8.2240831,49.9892956],[8.2241333,49.9893056],[8.2241659,49.9893122],[8.2242942,49.9893378],[8.2244786,49.9893746],[8.2250862,49.989496],[8.2253281,49.9895443],[8.2256348,49.9896056],[8.2260222,49.989683],[8.2264303,49.9897646],[8.2268125,49.989841],[8.2272171,49.9899218],[8.2274509,49.9899685],[8.2276456,49.9900074],[8.2277341,49.9900251]]}",0.288,0,0,0,1.95
"(1126030643, 10253395344)",65,,"{""type"":""LineString"",""coordinates"":[[8.2560648,49.9901091],[8.2561175,49.9902446],[8.2561803,49.9903258],[8.2562275,49.9903609],[8.2562873,49.9903953],[8.2563573,49.9904139],[8.256391,49.9904156],[8.2564301,49.9904053],[8.2564845,49.9903786]]}",0.052,1,0,0,1.217
"(255929783, 10857700951)",65,,"{""type"":""LineString"",""coordinates"":[[8.2489692,50.0124677],[8.249033,50.0124651]]}",0.005,1,0,0,0.622
"(27715992, 30696528)",64,Forsterstraße,"{""type"":""LineString"",""coordinates"":[[8.2605658,50.0089641],[8.2616199,50.0084588],[8.2617139,50.0084123]]}",0.102,0,0,1,0.561
"(2454132042, 1619471604)",64,Dagobertstraße,"{""type"":""LineString"",""coordinates"":[[8.2806357,49.9950904],[8.2811759,49.9953012]]}",0.045,0,0,1,0.825
"(254803887, 254803904)",64,Dampfbahnweg,"{""type"":""LineString"",""coordinates"":[[8.264186,49.9788682],[8.2642059,49.9788977],[8.2643276,49.9790988],[8.2645818,49.9795188],[8.2648006,49.9798804],[8.2650296,49.9802587],[8.2650788,49.9805291],[8.2651423,49.9808411],[8.2651431,49.9811955]]}",0.271,1,0,0,1.823
"(529555, 268433812)",64,Weisenauer Straße,"{""type"":""LineString"",""coordinates"":[[8.2831058,49.9923296],[8.2835589,49.992297],[8.2838076,49.9922751],[8.284119,49.9922384],[8.2845847,49.9921688],[8.2850624,49.9920583],[8.2854575,49.9919433],[8.2875687,49.9912754]]}",0.343,0,1,0,1.112
"(11761725893, 11761725896)",64,Saarstraße,"{""type"":""LineString"",""coordinates"":[[8.2470454,49.9965965],[8.2470206,49.9965805],[8.2469805,49.9965527],[8.246964,49.9965423],[8.2469069,49.996506],[8.2468369,49.9964654],[8.2467478,49.9964232],[8.2466262,49.9963791],[8.2464696,49.9963362],[8.2463207,49.9963185]]}",0.062,0,0,0,0.599
"(117425900, 265905882)",64,Lanzelhohl,"{""type"":""LineString"",""coordinates"":[[8.2490467,49.9856903],[8.2491928,49.9857545],[8.2494042,49.9858228],[8.2498905,49.9859607],[8.2510389,49.986293]]}",0.158,0,0,0,1.76
"(709493203, 352987389)",64,Hechtsheimer Straße,"{""type"":""LineString"",""coordinates"":[[8.2807526,49.9769781],[8.2805701,49.9782517]]}",0.142,0,1,0,1.094
"(255734841, 2137895114)",64,Radweg,"{""type"":""LineString"",""coordinates"":[[8.3008048,49.9789404],[8.3002185,49.9790686],[8.3000698,49.9791011]]}",0.056,0,0,1,0.166
"(255757257, 30652214)",64,Elbestraße,"{""type"":""LineString"",""coordinates"":[[8.2228317,50.005782],[8.2224706,50.0057354],[8.2220897,50.0056867],[8.2219018,50.0056621],[8.2214607,50.005605],[8.2210335,50.0055533],[8.2209398,50.0055161],[8.2209008,50.0054861],[8.2208775,50.0054682]]}",0.146,0,1,0,1.467
"(39711766, 2065527233)",64,Am Sportfeld,"{""type"":""LineString"",""coordinates"":[[8.2117898,50.0082986],[8.2114908,50.0082117],[8.2112829,50.0081285],[8.210721,50.0079579]]}",0.085,0,0,1,2.245
"(27362610, 256510552)",64,Am Römerlager,"{""type"":""LineString"",""coordinates"":[[8.2607627,49.9938179],[8.2606905,49.9938608],[8.2606508,49.9938844],[8.2604189,49.9939987],[8.2590961,49.9947996]]}",0.162,0,0,1,0.745
"(173948255, 1290219856)",64,Im Münchfeld,"{""type"":""LineString"",""coordinates"":[[8.2313155,49.9959569],[8.2313629,49.9959191],[8.2318112,49.9955614]]}",0.056,0,0,1,1.341
"(262876445, 256063051)",64,Dijonstraße,"{""type"":""LineString"",""coordinates"":[[8.2324809,49.9983546],[8.2318439,49.9980524]]}",0.057,0,0,1,1.16
"(1693552357, 30696524)",64,Forsterstraße,"{""type"":""LineString"",""coordinates"":[[8.262189,50.0081685],[8.2629784,50.0077832]]}",0.071,0,0,1,0.473
"(593857715, 593857717)",64,Obere Kreuzstraße,"{""type"":""LineString"",""coordinates"":[[8.2189184,50.0152516],[8.2188979,50.0152076],[8.2187763,50.0149465]]}",0.035,0,1,0,1.926
"(27634095, 27634081)",64,Templerstraße,"{""type"":""LineString"",""coordinates"":[[8.2789506,49.9963107],[8.2790732,49.9963523],[8.2801517,49.9967182]]}",0.097,0,0,1,0.676
"(1561408773, 6989299708)",64,Suderstraße,"{""type"":""LineString"",""coordinates"":[[8.2247998,50.0163849],[8.2249105,50.0164073],[8.225141,50.0164519],[8.2253055,50.0164838],[8.2256199,50.0165376],[8.2258558,50.0165779],[8.2260899,50.016646],[8.2265317,50.0167746],[8.2268002,50.0168528]]}",0.153,0,0,1,1.559
"(1232512434, 255380083)",64,Frauenlobstraße,"{""type"":""LineString"",""coordinates"":[[8.2584215,50.0031543],[8.2590404,50.0038098]]}",0.085,0,0,1,0.702
"(168485731, 6969614333)",64,An den Mühlwegen,"{""type"":""LineString"",""coordinates"":[[8.2730957,49.9631186],[8.2723934,49.9630644],[8.2722572,49.9630573]]}",0.06,0,0,0,0.212
"(1448946312, 1733625583)",63,Am Schützenweg,"{""type"":""LineString"",""coordinates"":[[8.23812,50.0162545],[8.2379511,50.0162102],[8.2376109,50.0161281],[8.2370996,50.0159738],[8.236946,50.0159236]]}",0.092,0,1,0,1.019
"(192090169, 194095029)",63,Ringstraße,"{""type"":""LineString"",""coordinates"":[[8.2768599,49.9595469],[8.2769208,49.9599646],[8.2769708,49.9604424],[8.2769739,49.9608191]]}",0.142,0,0,1,0.031
"(255380076, 30692045)",63,Boppstraße,"{""type"":""LineString"",""coordinates"":[[8.2614411,50.0038297],[8.2612176,50.0039216],[8.2610711,50.0039798]]}",0.031,0,1,0,0.758
"(1733625583, 1870739160)",63,Am Schützenweg,"{""type"":""LineString"",""coordinates"":[[8.236946,50.0159236],[8.2368269,50.0158818],[8.2365751,50.0157954],[8.2363936,50.0157468],[8.2362003,50.0157055],[8.2359501,50.0156417]]}",0.078,0,1,0,1.024
"(43193674, 256521547)",63,Pariser Straße,"{""type"":""LineString"",""coordinates"":[[8.2662155,49.9914237],[8.2661809,49.990529]]}",0.1,0,0,0,0.7
"(3414745906, 7128298055)",63,Eisenbahnstraße,"{""type"":""LineString"",""coordinates"":[[8.2830797,50.0071917],[8.2833195,50.00707],[8.2838224,50.00679],[8.2838723,50.0067621]]}",0.074,0,1,0,0.954
"(255737486, 6969358724)",63,Am Sportfeld,"{""type"":""LineString"",""coordinates"":[[8.2025535,50.0053366],[8.2018338,50.0050381]]}",0.061,0,0,1,2.218
"(261672033, 208519472)",63,Am Fort Gonsenheim,"{""type"":""LineString"",""coordinates"":[[8.2329679,50.000719],[8.2345508,50.0011341]]}",0.122,0,1,0,0.888
"(920875488, 920875487)",63,Am Sportfeld,"{""type"":""LineString"",""coordinates"":[[8.2093923,50.0076302],[8.2098647,50.0077612],[8.21044,50.0079208]]}",0.082,0,0,1,2.34
"(538454032, 538454039)",63,Boppstraße,"{""type"":""LineString"",""coordinates"":[[8.2546392,50.0065823],[8.2548178,50.0065111],[8.2550012,50.0064336]]}",0.031,0,1,0,0.623
"(6935103243, 256339818)",63,Agrippastraße,"{""type"":""LineString"",""coordinates"":[[8.2695087,49.9927394],[8.2698853,49.992777],[8.270197,49.9928081],[8.2705889,49.9928472],[8.2706563,49.9928539]]}",0.083,0,0,1,0.502
"(202843050, 1590055755)",63,Albert-Stohr-Straße,"{""type"":""LineString"",""coordinates"":[[8.2465735,49.98119],[8.2466276,49.9811524],[8.246782,49.9810099],[8.2472526,49.9805436]]}",0.087,0,0,1,2.313
"(34580649, 31272817)",63,Heiligkreuzweg,"{""type"":""LineString"",""coordinates"":[[8.2946101,49.9801124],[8.295034,49.9802688],[8.2951386,49.9803128],[8.2952698,49.9803775],[8.2953535,49.9804187],[8.2954409,49.9804733],[8.2955265,49.9805356]]}",0.081,0,1,0,0.17
"(1574180515, 27715109)",63,Diether-von-Isenburg-Straße,"{""type"":""LineString"",""coordinates"":[[8.2684753,50.0064227],[8.2685068,50.0064166],[8.2685379,50.0064186],[8.2685734,50.0064314],[8.2686191,50.0064642],[8.2689957,50.0067244],[8.2691079,50.006791],[8.2696446,50.0070866]]}",0.113,0,0,1,0.114
"(1878059534, 1878059533)",63,,"{""type"":""LineString"",""coordinates"":[[8.2472852,49.9971949],[8.2472924,49.9971768],[8.2473036,49.9971485]]}",0.005,1,0,0,0.531
"(168485680, 7348254400)",63,Zur Laubenheimer Höhe,"{""type"":""LineString"",""coordinates"":[[8.2834518,49.963233],[8.2837435,49.9632419],[8.2840989,49.9632907],[8.2847522,49.9633899],[8.2849255,49.9634152]]}",0.108,0,1,0,0.48
"(6246502623, 168458893)",63,Generaloberst-Beck-Straße,"{""type"":""LineString"",""coordinates"":[[8.2678837,49.9762902],[8.2677453,49.9763084],[8.2676242,49.9763207],[8.2674594,49.9763289],[8.266671,49.9763495]]}",0.087,0,0,1,1.65
"(264942240, 264942244)",63,Krähenweg,"{""type"":""LineString"",""coordinates"":[[8.2535693,49.9799833],[8.2530156,49.9798367]]}",0.043,1,0,0,2.246
"(255463646, 697205793)",63,Am Wasserwerk,"{""type"":""LineString"",""coordinates"":[[8.222333,50.0178939],[8.2215699,50.0178283],[8.2214344,50.0178167],[8.2213589,50.0177616],[8.2213876,50.0174733],[8.2214171,50.0171475],[8.2214332,50.0168469],[8.2214187,50.016535],[8.2214064,50.0164136],[8.221361,50.0163925],[8.2212829,50.0163727],[8.2210922,50.0163704],[8.2208016,50.0163863],[8.2200881,50.0164553],[8.2195103,50.0165439]]}",0.361,0,0,1,1.84
"(2100164240, 697208281)",63,Am Gonsenheimer Spieß,"{""type"":""LineString"",""coordinates"":[[8.2387907,49.9993136],[8.2387079,49.9992751],[8.2384182,49.9988792],[8.2381473,49.9984818]]}",0.104,0,0,1,0.702
"(27296091, 27296093)",63,Große Bleiche,"{""type"":""LineString"",""coordinates"":[[8.2667917,50.0025491],[8.2664087,50.0022329],[8.2661018,50.0019797]]}",0.08,0,1,0,0.577
"(255723752, 224456290)",63,Vordere Synagogenstraße,"{""type"":""LineString"",""coordinates"":[[8.2681251,50.0020259],[8.2682322,50.0021429],[8.2687008,50.0026628]]}",0.082,0,0,1,0.535
"(205495217, 10028144326)",63,Alte Mainzer Straße,"{""type"":""LineString"",""coordinates"":[[8.2817882,49.9694141],[8.2817038,49.9701619],[8.2816771,49.9703983],[8.2816548,49.9706073]]}",0.133,0,1,0,0.841
"(168485700, 249629630)",63,An den Mühlwegen,"{""type"":""LineString"",""coordinates"":[[8.2782518,49.964175],[8.2781674,49.9641628],[8.2774291,49.9640357]]}",0.061,0,0,0,0.168
"(1561832672, 255754890)",62,,"{""type"":""LineString"",""coordinates"":[[8.2163335,50.0059088],[8.2164247,50.0060017],[8.2164344,50.0060115],[8.2164697,50.0060475],[8.2164897,50.0062004],[8.2161257,50.006917],[8.2161238,50.0069755],[8.2161424,50.0070101],[8.2161642,50.0070411],[8.2162391,50.0070611],[8.2165902,50.0071392],[8.2167133,50.0072484]]}",0.181,1,0,0,1.892
